sku,from_path,to_path
"8616500014","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0173F","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"860006-BRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"S-0019WHT","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"860024-BRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"870012-BRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"860017-YEL","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"TBAG97-TAN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"PUR-0089.2","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"860004-BRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"860002-BEI","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"PUR-0087.2","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Shopper","Textiles > Ribbon & Trim"
"TBAG27-TAN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"0008-BLK","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"0008-GRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"0008-PNK","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"0008-LBRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"860002-SDL","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"870013-BEI","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"870013-BLK","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"LS20-BRN","Packaging & Storage > Packaging Packets and Bags > Paper Bags > Boutique","Textiles > Ribbon & Trim"
"PVC-22","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0163","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-26","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"CBSBTH-NAT","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"CBM-WHT","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0079","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0134W","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-21","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"BKMPH-NAT","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-55","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"8616500078","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0137B","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-86","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-28","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-24","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-32","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0102G","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-03","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0066","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-15","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"LPO230-WHT","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0085","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-04","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0082","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"8616000148","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-10","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0083","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"8616000150","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"8616000145","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"8616000146","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0091","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"8616000149","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"8616000147","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0110","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0113","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-27","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PK-0081","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-13","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
"PVC-29","Packaging & Storage > Packaging Packets and Bags > Resealable PVC","Textiles > Ribbon & Trim"
